id,project_id,name,account_id,budget_line/obi_id,budget_line/budget_alloc
project_line_hwf_165,[Central Kitchen] Furniture,Operation furniture,5513-02,HoG I,10000
project_line_hwf_166,[Central Kitchen] Furniture,Other,5513-03,,
project_line_hwf_167,[Central Kitchen] Transportation,Insurance and tax,5514-01,HoG I,63000
project_line_hwf_168,[Central Kitchen] Transportation,Insurance and tax (other donor),5514-02,,
project_line_hwf_169,[Central Kitchen] Transportation,Petrol,5514-03,HoG I,300000
project_line_hwf_170,[Central Kitchen] Transportation,Petrol (other donor),5514-04,,
project_line_hwf_171,[Central Kitchen] Transportation,Car maintenance,5514-05,HoG I,60000
project_line_hwf_172,[Central Kitchen] Transportation,Car maintenance  (other donor),5514-06,,
project_line_hwf_173,[Central Kitchen] Rent and Utilities,Rent and tax,5515-01,HoG I,103000
project_line_hwf_174,[Central Kitchen] Rent and Utilities,Rent and tax (other donor),5515-02,,
project_line_hwf_175,[Central Kitchen] Rent and Utilities,Electricity,5515-03,HoG I,60000
project_line_hwf_176,[Central Kitchen] Rent and Utilities,Electricity (other donor),5515-04,,
project_line_hwf_177,[Central Kitchen] Rent and Utilities,Water/ used and waste,5515-05,HoG I,48000
project_line_hwf_178,[Central Kitchen] Rent and Utilities,Water/ used and waste (other donor),5515-06,,
project_line_hwf_179,[Central Kitchen] Rent and Utilities,Telephone,5515-07,HoG I,12000
project_line_hwf_180,[Central Kitchen] Rent and Utilities,Garvage collection,5515-08,HoG I,2400
project_line_hwf_181,[Central Kitchen] Salaries,Manager,5516-01,HoG I,140250
project_line_hwf_182,[Central Kitchen] Salaries,Nutritionist,5516-02,HoG I,153000
project_line_hwf_183,[Central Kitchen] Salaries,Cook,5516-03,HoG I,204000
project_line_hwf_184,[Central Kitchen] Salaries,Driver,5516-04,HoG I,204000
project_line_hwf_185,[Central Kitchen] Salaries,Senior Assistant,5516-05,HoG I,191250
project_line_hwf_186,[Central Kitchen] Salaries,Junior Assistant,5516-06,HoG I,204000
project_line_hwf_187,[Central Kitchen] Salaries,Logistician (share cost 70 %),5516-07,HoG I,115706.25
project_line_hwf_188,[Central Kitchen] Salaries,Work permit,5516-08,HoG I,30400
project_line_hwf_189,[Central Kitchen] Salaries,Over time work,5516-09,HoG I,120000
project_line_hwf_190,[Central Kitchen] Salaries,Health Check up,5516-10,HoG I,10000
project_line_hwf_191,[Central Kitchen] Staff Capacity building,Fire Safety& First Aid training,5517-01,HoG I,2000
project_line_hwf_192,[Central Kitchen] Staff Capacity building,Safety food and Nutrition training,5517-02,HoG I,25000
project_line_hwf_193,[Central Kitchen] Staff Capacity building,Production place visit  Vegetable,5517-03,HoG I,2500
project_line_hwf_194,[Central Kitchen] Cooking Gas and Sanitation,Cooking gas,5518-01,HoG I,583200
